代码,专业组名称
5203,华中师范大学01专业组(不限)
5203,华中师范大学02专业组(思想政治)
5204,华中农业大学01专业组(不限)
5205,中国地质大学(武汉)01专业组(不限)
5205,中国地质大学(武汉)02专业组(思想政治)
5206,中南财经政法大学03专业组(不限)
5206,中南财经政法大学04专业组(不限)
5207,武汉理工大学01专业组(不限)
5208,中南民族大学01专业组(不限)
5208,中南民族大学02专业组(思想政治)
5209,湖北大学01专业组(不限)
5211,湖北中医药大学01专业组(不限)
5211,湖北中医药大学02专业组(化学或生物)
5212,武汉纺织大学01专业组(不限)
5213,武汉体育学院01专业组(不限)
5215,武汉工程大学01专业组(不限)
5216,武汉轻工大学01专业组(不限)
5220,湖北第二师范学院01专业组(不限)
5220,湖北第二师范学院02专业组(不限)
5221,湖北经济学院01专业组(不限)
5243,长江大学01专业组(不限)
5251,三峡大学01专业组(不限)
5261,湖北师范大学01专业组(不限)
5261,湖北师范大学02专业组(化学或地理)
5265,湖北理工学院01专业组(不限)
5271,湖北警官学院01专业组(思想政治)
5285,荆楚理工学院01专业组(不限)
5287,湖北科技学院01专业组(不限)
5290,湖北文理学院01专业组(不限)
5295,湖北工程学院01专业组(不限)
5301,湖南大学01专业组(不限)
5301,湖南大学02专业组(不限)（边防军人子女预科班）
5302,中南大学01专业组(不限)
5303,湖南师范大学01专业组(不限)
5303,湖南师范大学02专业组(化学或地理)
5303,湖南师范大学03专业组(思想政治)
5305,湖南农业大学01专业组(不限)
5305,湖南农业大学02专业组(生物或地理)
5306,湖南工商大学01专业组(不限)
5306,湖南工商大学02专业组(化学或地理)
5307,长沙理工大学01专业组(不限)
5307,长沙理工大学02专业组(不限)
5308,长沙学院01专业组(不限)
5310,湖南人文科技学院01专业组(不限)
5310,湖南人文科技学院02专业组(不限)
5320,湖南财政经济学院01专业组(不限)
5321,湖南科技大学01专业组(不限)
5321,湖南科技大学02专业组(化学或地理)
5322,湖南工程学院01专业组(不限)
5323,湘潭大学01专业组(不限)
5327,湖南工学院01专业组(不限)
5327,湖南工学院02专业组(思想政治)
5327,湖南工学院03专业组(思想政治或地理)
5331,中南林业科技大学01专业组(不限)
5332,湖南工业大学01专业组(不限)
5341,南华大学01专业组(不限)
5342,衡阳师范学院01专业组(不限)
5342,衡阳师范学院02专业组(思想政治)
